folder_name,root_name,child_name,years,months,days,speaker,text,CHI_response,adult_coherence_score,child_coherence_score
VanHouten/Threes/freeplay,royalf,Sarah,3.0,3.0,28.0,INV,do I hafta hold on or can I keep my hands up in the air?,oh what him doing?,0.7,0.3
Gelman/2004-Gender,72,,6.0,5.0,29.0,MOT,okay. look at the high waves. and do you think this is a girl sailor or a boy sailor?,girl.,0.8,0.8
Bloom/Peter,020503,Peter,2.0,5.0,3.0,PAT,it's mommy's chair but you can sit on it. whose chair is this?,that's daddy's chair.,0.8,0.7
Kuczaj,030430,Abe,3.0,4.0,30.0,MOT,he's not very hospitable „ is he?,no ‡ Mommy. I'm all through.,0.7,0.4
Brown/Eve,010600b,Eve,1.0,6.0,0.0,MOT,what are they doing? are you ready for your lunch?,mouth.,0.8,0.5
HSLLD/HV3/TP,diatp3,,5.0,3.0,22.0,MOT,what are you gonna make?,nothing. I'm just gonna. I can't do it. maybe with different things. and this.,0.8,0.6
Hall/BlackWork,anl,Anthony,4.0,9.0,,MCH,hey Jonathan do you have two or juice?,what's your name?,0.8,0.2
Suppes,011116,Nina,1.0,11.0,16.0,MOT,what's on your knee? a bump?,bump.,0.8,0.8
VanKleeck,ben1,Ben,3.0,8.0,,ADU,"no way, Jose. you're a joker. hey, I think you've got the right idea. now what is it?",it's the thing for someone to wash their hair with.,0.8,0.8
Bliss,normelis,Melissa,3.0,4.0,,KAR,where do you live Melissa?,I live at my house.,0.9,0.9
Morisset/Seattle,805m30,Ethan,2.0,6.0,,MOT,alright. thank_you very much. okay. let's set that down now. okay. do you want some of this?,yes.,0.8,0.8
PetersonMcCabe,37,Mary,6.0,2.0,,INV,have you ever been in a car wreck?,unhunh.,0.9,0.7
HSLLD/HV2/TP,nictp2,,4.0,5.0,9.0,MOT,can I come over your house?,yes!,0.8,0.8
Suppes,030105,Nina,3.0,1.0,5.0,MOT,oh. that's a silly thing to sit on. what's this. Nina. that we bought at the store?,a ball.,0.9,0.9
Bliss,norjusti,Justin,4.0,6.0,,MOT,can you get it? there. there's not much talking to this puzzle is there?,uhuh.,0.7,0.7
Gelman/2004-Gender,46,,5.0,0.0,16.0,MOT,yeah okay. he fed you when you were a baby. do you think Firstname could too?,yes.,0.8,0.8
Gelman/2004-Gender,30,,4.0,8.0,11.0,MOT,"look he's number one and, what did he do? remember in safety child when they tell you what you needta wear, when you're riding, a bicycle? a helmet? do you wear a helmet when you're in a car?",no.,0.8,0.7
Kuczaj,021015,Abe,2.0,10.0,15.0,MOT,do you wanna put rice on it and have a rice sandwich?,no ‡ I will dip it. see I dipped it.,0.8,0.9
MacWhinney,030522,Ross,3.0,5.0,22.0,FAT,is your right arm small?,no. one's big and this one is little.,0.8,0.8
Hall/BlackPro,voh,Von,4.0,9.0,,EXP,oh that's what that is?,no. I want daddy to take me. mop and glow. hello. you mean you don't hafta talk in these? you just talk?,0.5,0.4
Brown/Adam,031101,Adam,3.0,11.0,1.0,MOT,cigar. and what does he have on his lap?,a bunny.,0.9,0.9
NewmanRatner/24,5482DF,5482DF24,2.0,0.0,,MOT,do you know what that is?,nana.,0.9,0.8
Brown/Sarah,041119,Sarah,4.0,11.0,19.0,FAT,forty hundred. huh? forty hundred pounds. two tons?,huh?,0.8,0.4
Gelman/2014-IndDiff,08C-P2,,4.0,9.0,31.0,MOT,yeah remember our backpack?,uh-huh oh just like backpack but babies don't go inside school backpacks. then they can't breathe.,0.8,0.8
Weist/Matt,030504,Matt,3.0,5.0,4.0,MOT,it was eating it. what happened to Harry. and what's his friend's name?,Ron.,0.9,0.9
Sachs,010800,Naomi,1.0,8.0,,MOT,here's the bear. there. hug. hug. hug. Nomi. what's the lamb doing?,lamb.,0.8,0.6
Hall/BlackPro,chj,Chris,4.0,9.0,,MOT,"what_about, what_about “chico?","wanna listen? ah, ah, ah!",0.4,0.2
Bohannon/Nat,angela,Nathaniel,3.0,0.0,,ANG,you put what now? your animals in there?,animals.,0.9,0.8
Brown/Sarah,030416,Sarah,3.0,4.0,16.0,KEN,read it to Bugs? help him go to sleep?,I sleep under there.,0.8,0.7
Weist/Matt,030823,Matt,3.0,8.0,23.0,MOT,we've been watching that one. we borrowed it from whom?,Roman.,0.8,0.9
VanKleeck,jessica1,Jessica,3.0,8.0,,ADU,"you made Santaclaus mad. okay, put the tv in. now what?",just play.,0.7,0.6
Warren,beth,Beth,4.0,9.0,,FAT,did you write that? how come you wrote them backwards?,that's why I scraped them off!,0.9,0.8
Gelman/2014-IndDiff,54C-P2,,4.0,7.0,2.0,MOT,yeah? and what did he do? did he. do you hafta go potty?,no.,0.8,0.4
Brown/Adam,040014,Adam,4.0,0.0,14.0,MOT,you're caught by a fish?,walking very far. Mommy. can I put those little goats in there? who got me? Mommy. that's the brown mother's duck.,0.6,0.3
Soderstrom/Joe,010029,Joseph,1.0,0.0,29.0,MOT,oh you needta come up and see me?,ehh.,0.7,0.2
McCune/Aurie,011000,Laura,1.0,10.0,0.0,MOT,let's see. what shall we do? how about putting one on the plate? and the cup. what do you wanna have for breakfast?,cookies.,0.9,0.8
Gelman/2004-Gender,10,,2.0,5.0,16.0,MOT,okay. what friend is that? what's your friend's name?,raise your head when feetball momma.,0.8,0.2
Demetras2/Jimmy/father,020215,Jimmy,2.0,2.0,15.0,FAT,are these your shears? are they your scissors or your shears?,"I I scissors. oh, I play with it.",0.9,0.8
Hall/BlackWork,deg,Derwood,4.0,9.0,,EXP,"no, where's the light? that's the light? on your car huh?",one light. the other car. could you could you draw something like that car like this? huh?,0.8,0.7
Weist/Matt,030407,Matt,3.0,4.0,7.0,MOT,okay well let's just run real quick. what did you do?,I fell.,0.8,0.8
Morisset/Seattle,805m30,Ethan,2.0,6.0,,MOT,you can watch yourself eat. can't you? Ethan. did you like playing with those toys?,mhm.,0.8,0.6
HSLLD/HV5/BR,conbr5,,7.0,6.0,26.0,MOT,what's the name of the. book?,oh. The Very Hungry Caterpillar. in the. light. of the moon. a little. egg lay. on. a leaf. one Sunday. morning the. what is it?,0.8,0.6
HSLLD/HV1/TP,nedtp1,,4.0,11.0,1.0,MOT,match them with their colors. what color is this?,green.,0.9,0.9
Weist/Roman,020701,Roman,2.0,7.0,1.0,JEN,who's Bob the builder?,that guy is Bob the builder. no no no.,0.8,0.7
Post/Tow,020324,Tow,2.0,3.0,24.0,MOT,see look see these things right here Kalie?,yes.,0.7,0.8
Weist/Roman,030619,Roman,3.0,6.0,19.0,FAT,was it walking away or coming after you?,"ah, it was going away, it was heading under the toy box, I won't step on him. no why. I saw, but I saw another one climbing on the couch that I won't step on it too.",0.8,0.9
MacWhinney,030426a,Ross,3.0,4.0,26.0,FAT,malna is raspberry. have you ever had raspberries?,no.,0.8,0.8
Brown/Adam,030707,Adam,3.0,7.0,7.0,MOT,oh. what kind of fish is this?,a yyy rod. what was that breaking?,0.8,0.4
HSLLD/HV1/TP,mittp1,,3.0,11.0,17.0,MOT,what are you doing? are you watching T V?,yes.,0.8,0.9
Weist/Roman,020814,Roman,2.0,8.0,14.0,JEN,where's that pony going to sleep in?,in the bathtub.,0.8,0.6
HSLLD/HV2/TP,giltp2,,4.0,5.0,13.0,MOT,oh. what did you make?,you!,0.8,0.7
Suppes,011129,Nina,1.0,11.0,29.0,MOT,is there a lady? who else?,a man in the back.,0.8,0.8
Braunwald,020221,Laura,2.0,2.0,21.0,ADU,hammer? I think. are you hammering it in?,out.,0.8,0.7
Gelman/2004-Gender,01,,2.0,10.0,4.0,MOT,who can play with dolls? you know that. who's that?,I don't know.,0.8,0.6
Hall/BlackWork,trc,Trina,4.0,9.0,,EXP,where does it hurt right here?,ah.,0.8,0.4
NewEngland/20,20,Paula,1.0,7.0,20.0,MOT,where did our friend go? she coming back?,no.,0.8,0.8
Soderstrom/Joe,000915b,Joseph,0.0,9.0,15.0,MOT,you blowing some raspberries for me?,pbth pbb. pff pbbpth pbbth pbbthb.,0.8,0.9
Tardif,e22,Tyler,1.0,8.0,25.0,MOT,where did the ball go?,don't know.,0.9,0.8
Bernstein/Children/Dale,010500,Dale,1.0,5.0,,MOT,"look, dale. look at the blocks. is that loud enough? my voice is kind of low, I guess. ya like that? I've heard about these blocks. they are really unique. oh. you like those! we'll put them all over here. here we go. there! what do you think of that? you like those? see the kitty? kitty. it's a birdie. is that? blocks. look at the blocks, dale. look! look! a tower. wow! you like those?",æk.,0.3,0.1
Brown/Adam,040902,Adam,4.0,9.0,2.0,MOT,oh. that means marvelous. marvelous means that?,I been dreaming about. about talking. because if talking goes out there. I wonder what I could say. I wish I had Ursula. I dreamed about Ursula too.,0.8,0.6
Weist/Emily,021115,Emily,2.0,11.0,15.0,CAR,oh you're gonna wear it?,no.,0.9,0.9
VanHouten/Threes/freeplay,stringf,Rebecca,3.0,5.0,20.0,INV,it is the merry-go-round. that's right. what's this? this thing?,a slide. he's not holding on.,0.8,0.8
Suppes,030010,Nina,3.0,0.0,10.0,MOT,did Spencer come and spend the day here?,yup.,0.9,0.9
Lego-protect/Lego,019-1,,,,,MOT,dog. careful. don't hit yourself in the face. okay?,c. b. c. uhoh.,0.8,0.4
MacWhinney,040508c,Ross,4.0,5.0,8.0,FAT,and then you don't hafta be nice. you can take your own little money. you don't hafta be nice. isn't that great? do you like it better when you're not nice or when you are nice?,when I don't hafta be nice.,0.8,0.8
Weist/Matt,040426,Matt,4.0,4.0,26.0,MOT,"right, and what happens in Brother Bear?",I forgot.,0.9,0.8
Demetras2/Tim/father,020130,Tim,2.0,1.0,30.0,FAT,what kind of noise does he make?,moo.,0.9,0.9
Soderstrom/The,000909b,Theo,0.0,9.0,9.0,MOT,"you wanna come up? say “up, mommy, up”! can you get up, up?",ahegh hahuheh.,0.8,0.2
HSLLD/HV3/ET,allet3,,5.0,2.0,13.0,INV,hi how are you doing?,this is a fun toy! mom do you know what I'm going to make↑ a face. let us see. can we use two heads?,0.9,0.8
HSLLD/HV3/TP,jentp3,,6.0,0.0,23.0,MOT,I'm gonna move this way. go see Papa. that one. go take your bike. Inv's gonna get up and she's gonna hit that. you gotta move that. is that good? bottomless cup huh?,ah! you know what I drink? beer.,0.6,0.4
PLAY,CDH1,,3.0,2.0,,ADU,that one's finished. thank_you. are you going to wash it up?,yes.,0.9,0.9
Sachs,020125,Naomi,2.0,1.0,25.0,FAT,yeah. put it in your mouth. you hafta taste it before you let Beanice taste it. that a girl. there you go. is that good?,Beanice eat it?,0.8,0.8
Weist/Ben,020510,Benjamin,2.0,5.0,10.0,MOT,"oh no, what happened to the puppy?",they're fall down.,0.9,0.8
Weist/Roman,040611,Roman,4.0,6.0,11.0,FAT,do you remember their names or no?,and.,0.8,0.1
Weist/Emily,020813,Emily,2.0,8.0,13.0,CAR,and what do you do there?,a lot. it get groceries!,0.9,0.8
HSLLD/HV1/TP,tritp1,,4.0,0.0,9.0,MOT,okay. what're you gonna cook? what're you gonna cook me?,spaghetti.,0.9,0.9
Hall/BlackWork,kig,Keisha,4.0,9.0,,EXP,mhm now what were you asking me before?,huh?,0.8,0.2
Snow,030409b,Nathaniel,3.0,4.0,9.0,MOT,Music. what's happening?,happening? all the music is coming out.,0.7,0.8
Valian,10b,,2.0,5.0,7.0,MOT,he doesn't fit there honey. he'll fit right here. see? he fits there. see?,he fit there. I wanna go on it.,0.9,0.8
Valian,18a,,2.0,5.0,,MOT,one more. one more page of pictures and that's all. oh! Child! this will interest Investigator! do you know who this person is? who?,sand.,0.9,0.3
Gelman/2014-IndDiff,58C-R1,,4.0,6.0,21.0,INV,what more can you tell me?,pineapples have a little bit pokey on on the on the skin.,0.8,0.8
HSLLD/HV1/ER,doner1,,3.0,9.0,9.0,MOT,you don't want ta tell the whole story?,no.,0.8,0.7
Brown/Eve,010900c,Eve,1.0,9.0,0.0,MOT,well. ‡ I don't want my celery. would you put it back on the counter „ please? are you gonna eat my celery?,no.,0.9,0.8
MacWhinney,020718b,Ross,2.0,7.0,18.0,FAT,you wanna see the fire station?,no fire station. fire engines.,0.8,0.8
Tardif,e07,Rachel,1.0,9.0,11.0,MOT,good girl bye bye. and then can you put it back up here? hang it up. can I help you?,yes.,0.8,0.8
Gelman/2014-IndDiff,51C-R2,,4.0,6.0,1.0,INV,what more can you tell me?,um it's cheesey and you eat the cheese.,0.8,0.8
Gelman/2004-Gender,13,,2.0,7.0,12.0,MOT,"baby's picking flowers, yeah. picking flowers. yeah, what is that?",very hot.,0.8,0.4
Gelman/2014-IndDiff,71C-P1,,4.0,8.0,11.0,MOT,"no picking please. banana. does that banana look good enough to eat? oh yummy. our bananas at home are ripe now so I think we can probably eat those. oh that looks good though too. are you gonna eat it? would it be cool if this picture was like the scratch and sniff one, and then we could smell if it was like, what kind of cookie it was. what kind of cookie was that?",chocolate chip. we've already done that one.,0.9,0.8
Demetras2/Jimmy/mother,020923,Jimmy,2.0,9.0,23.0,MOT,sure elephants have tails. an what's this thing in the front?,I I I. I don't know.,0.9,0.6
Suppes,020206,Nina,2.0,2.0,6.0,MOT,where were they riding?,on a elephant.,0.8,0.6
Brown/Sarah,030513,Sarah,3.0,5.0,13.0,MOT,alright. what's that?,a.,0.9,0.3
Kuczaj,030914,Abe,3.0,9.0,14.0,FAT,do you want me to fix your breakfast first or look for what's on tv first?,look for what's on tv first.,0.9,0.9
McCune/Aurie,011000,Laura,1.0,10.0,0.0,MOT,you could look through it. I see you. do you wanna look through it? do you see me?,"box. help. here, look. here's, a, napkin. hi, Dorrie. tap.",0.8,0.2
Warren,louise,Louise,5.0,3.0,,FAT,did you wake them up? did you wake her mom and dad up too? what did ya do?,"we just stayed in bed till they, till they came, were awake.",0.9,0.8
Braunwald/0diary,020207,Laura,2.0,2.0,7.0,MOT,I'm gonna go up and go potty on your potty okay?,"okay, you could, okay. I'm so tired I wanna go sleep. I'm so tired I wanna go sleep.",0.8,0.7
Gelman/2004-Gender,32,,4.0,2.0,25.0,MOT,what's he doing? what's she doing?,driving a truck.,0.9,0.8
Demetras2/Michael/mother,020220,Michael,2.0,2.0,20.0,MOT,"oh oh. Ellie. what happened? we lost the other part of it. there you go. you hold that part of it. thank_you. now, let me put this back into you. thank_you. may I have that please?",no want help.,0.9,0.6
Hall/WhitePro,maa,Matthew,4.0,9.0,,EXP,"yep. let's just put this away. how would you like to go and talk with your father for a little while, while he's having breakfast?",I don't wanna.,0.9,0.8
Kuczaj,030523,Abe,3.0,5.0,23.0,FAT,what are you looking at. Abe?,just a book. Mommy. what's wrong with this guy?,0.9,0.8
Nippold,KS,KS,13.0,0.0,,INV,"no? okay, do you like to read books or magazines?",uhhuh.,0.9,0.6
Weist/Emma,021000,Emma,2.0,10.0,0.0,JES,"oh, is he tired? he's gonna take a nap?",yes.,0.9,0.8
Bloom/Peter,020303,Peter,2.0,3.0,3.0,MOT,where's Lois's pocketbook?,right there.,0.9,0.9
HSLLD/HV2/ER,marer2,,5.0,1.0,16.0,MOT,okay. we went to the carnival? and where did we go?,to a wedding?,0.9,0.4
Peters,020000a,Seth,2.0,0.0,0.0,FAT,this. you want Daddy to put it down here? okay here it is. here let me give you good bite. how about your medicine. you want some medicine?,medicine? n gone?,0.9,0.7
Gleason/Mother,frank,Frank,5.0,2.0,,MOT,"right. but now they've gotta try to catch him, right?",mhm. there's his whistle.,0.9,0.8
NewmanRatner/24,5954ML,5954ML24,2.0,0.0,,MOT,more animals? yeah. so now we're going to be able to put all these animals everywhere aren't we?,play.,0.7,0.3
NewmanRatner/24,4629AB,4629AB24,2.0,0.0,,MOT,piggy. you want the piggy to go in the mud? hm?,piggy. ew.,0.9,0.8
Suppes,020528,Nina,2.0,5.0,28.0,MOT,what is the dog doing?,sleeping on ground.,0.9,0.9
McCune/Rick,011000,Rick,1.0,10.0,0.0,MOT,"do you have anything else to do, you have anything to eat Patrick? what else is here? what?",baby.,0.8,0.4
Gleason/Mother,charlie,Charlie,3.0,0.0,8.0,MOT,yes. okay would you like to have my change back?,okay.,0.8,0.7
Valian,20b,,2.0,7.0,21.0,INV,do you have one of these guys over in there? what is that?,a cow.,0.9,0.9
Bloom/Peter,011117,Peter,1.0,11.0,17.0,LOI,you know what this is Peter?,hm.,0.8,0.4
Gelman/2014-IndDiff,37C-P2,,4.0,9.0,21.0,MOT,what what's so good about it?,"because it's, that.",0.8,0.5
Morisset/Seattle,796m30,Brian,2.0,6.0,,MOT,let Mommy finish writing this and then you can have it. okay?,no.,0.9,0.8
Gelman/2004-Gender,48,,4.0,10.0,12.0,MOT,"yeah, that was always fun, huh?",mhm.,0.8,0.7
Weist/Emma,040328,Emma,4.0,3.0,28.0,LAU,"I think we'll hafta think of a new special this week that he has. last week he had turkey dogs and spinach munchies, what do you think he should have this week with turkey dogs?",chocolate chip cookies.,0.9,0.8
Bohannon/Nat,ruth,Nathaniel,3.0,0.0,,RRR,"Nat, can you tell me what Otto's doing in the picture?",running around.,0.9,0.9
Gelman/2016-Robodog,51,,5.0,6.0,,MOT,yeah. where do people sit? huh?,in here.,0.8,0.8
Weist/Matt,020819,Matt,2.0,8.0,19.0,MOT,oh your bricks are falling. you wanna build right here?,dump. it's time to dump now.,0.9,0.8
Brown/Eve,020000b,Eve,2.0,0.0,0.0,COL,do you think he'll walk if we wind him up?,hm?,0.8,0.4
Kuczaj,031018,Abe,3.0,10.0,18.0,FAT,I don't know. what's under there?,a mouse.,0.8,0.8
Feldman,020123,Steven,2.0,1.0,23.0,MOT,do you have a telephone?,no.,0.9,0.9
Gelman/2014-IndDiff,13C-P2,,4.0,10.0,2.0,MOT,blueberries. or you know what sometimes black is you like cinnamon what kind of toast?,cinnamon.,0.4,0.7
Higginson/June,june10,June,1.0,7.0,,MOT,uhhuh. is bunny going to sleep now?,bunny.,0.8,0.6
Hall/BlackWork,lef,Lynette,4.0,9.0,,MOT,"yeah we're gonna dye some eggs tomorrow, not today. tomorrow night. how does that sound?",fine.,0.9,0.8
Suppes,020206,Nina,2.0,2.0,6.0,MOT,he doesn't fit on the horse?,he fit on the horse. he fit on the horse too. he fit on the horse too. he fit on the horse too? look. he pull that. he pull that.,0.8,0.9
Gelman/2014-IndDiff,17C-P2,,4.0,8.0,24.0,MOT,so what does that mean?,nocturnal.,0.7,0.9
Suppes,021106,Nina,2.0,11.0,6.0,MOT,where does the circle go? where did the circle go?,it's in there with the star.,0.9,0.9
Suppes,020527,Nina,2.0,5.0,27.0,MOT,that's right. do you wanna play out in the yard?,uhhuh. with Becca and Rachel. and Jenny will be outside.,0.9,0.9
Morisset/Seattle,794m30,,2.0,6.0,,MOT,drink yours. bring your chair back over here. why?,I.,0.8,0.4
Brown/Adam,030011,Adam,3.0,0.0,11.0,MOT,open the alligator? what's an alligator?,cars get in.,0.8,0.5
Soderstrom/Joe,010021,Joseph,1.0,0.0,21.0,MOT,yeah. can you put it on mommy's finger?,dub puh.,0.9,0.3
Valian,02b,,1.0,9.0,28.0,MOT,"oh, I see somebody. who's in there?",a duck.,0.9,0.9
NewEngland/32,49,James,2.0,6.0,10.0,MOT,look at the little bug. look. I brush my teeth when I get up. do you do that when you get up?,wash my face.,0.8,0.7
Braunwald,020312,Laura,2.0,3.0,12.0,FAT,you want orange juice?,no.,0.9,0.9
Weist/Matt,031106,Matt,3.0,11.0,6.0,MOT,yeah. you know what Matty? I didn't tell you this. this morning. but when I was leaving. I saw Marissa's mommy and I asked her for their phone number. so_that I can call her and then we can make plans and then you and Marissa can play together. what do you think we should do with Marissa?,I don't know.,0.9,0.8
NewEngland/14,03,Andrew,1.0,2.0,1.0,MOT,it's a bunny. a bunny goes hop_hop hop_hop! yeah. what's that?,oh.,0.9,0.5
Weist/Emily,020620,Emily,2.0,6.0,20.0,CAR,"you've seen fish! Aunt_Carey's fish useta be in there, where'd they go?",I'm laughing at. your fish.,0.8,0.4
Braunwald,020300a,Laura,2.0,3.0,,MOT,oh. don't you like to sit in the rocker?,look.,0.9,0.2
McCune/Alice,011000,Alice,1.0,10.0,0.0,MOT,you scared him did you?,"on, table.",0.8,0.3
Braunwald,010513,Laura,1.0,5.0,13.0,MOT,did caca? Ewww cried caca. Jwww wake up. did Caca cry?,Caca.,0.7,0.8
Demetras2/Tim/mother,020206,Tim,2.0,2.0,6.0,MOT,where's the white? white there? white socks? yeah. white shoe and what's that color?,unhunh. blue.,0.9,0.6
Suppes,030105,Nina,3.0,1.0,5.0,MOT,hey. Nina. we haven't finished snacks yet. you said you were going to give them snacks. they're all hungry. what are you gonna give them?,ah. well. I'll. I'll give a snack later.,0.9,0.8
Tardif,e24,Andrew,1.0,8.0,15.0,MOT,what's that? what do you use that for?,doh.,0.9,0.2
Warren,doug,Doug,2.0,7.0,,MOT,did you get in the police car?,huh.,0.8,0.2
Brown/Adam,021016,Adam,2.0,10.0,16.0,RIC,where does that go? in here?,right there. what else?,0.8,0.8
HSLLD/HV2/TP,maytp2,,4.0,9.0,23.0,MOT,bye bye. I thought your name was. Chi?,my. hey! it was Chi.,0.8,0.8
Brown/Sarah,040617,Sarah,4.0,6.0,17.0,MEL,no. what do you think that part is?,to hold the baby. the carriage.,0.8,0.8
Gelman/2016-Robodog,18,,5.0,6.0,,MOT,she had to get did she hafta get a Band-aid or a shot or anything?,she got she hasta get a shot in two more days.,0.8,0.8
Hall/WhiteWork,kao,Kayode,4.0,9.0,,MOT,did you eat a_lot_of cereal or a little cereal?,a lot.,0.9,0.9
Clark,020820b,Shem,2.0,8.0,20.0,INV,no. no. but they like their milk just as I do. does a baby raccoon eat with a spoon? what's he holding?,a spoon.,0.8,0.8
HSLLD/HV5/MT,melmt5,,7.0,6.0,20.0,MOT,whose sled did you go on?,Deanna's.,0.9,0.9
Weist/Matt,020805,Matt,2.0,8.0,5.0,MOT,hm and the scissors. what does this page say?,have. have hearts on the cake.,0.8,0.6
Bloom/Peter,011117,Peter,1.0,11.0,17.0,PAT,did you push the button? you really weren't sposta. were you?,push.,0.9,0.7
HSLLD/HV3/TP,shotp3,,5.0,4.0,21.0,MOT,yeah. what kind of toys?,a. I'm cooking.,0.8,0.3
Soderstrom/The,000615b,Theo,0.0,6.0,15.0,MOT,"pats for Theo, and pats for the baby. mm yeah. yeah. see the baby's eyes?",ah.,0.9,0.4
Brown/Sarah,040919,Sarah,4.0,9.0,19.0,MEL,you kissed Georgie? what was it like?,I don't know.,0.9,0.8
NewmanRatner/Interviews/18,5859ME,5859ME18,1.0,6.0,,EXP,thank you! we cuddle the baby. what other animals did she play with that you not mention?,baby.,0.8,0.6
HSLLD/HV2/TP,tomtp2,,4.0,11.0,23.0,MOT,those are nice blocks huh?,mom? hey! wanna help me do this?,0.9,0.7
HSLLD/HV5/MT,mrkmt5,,7.0,4.0,20.0,MOT,oh even you? but you already did it right?,no.,0.9,0.8
Weist/Matt,020317,Matt,2.0,3.0,17.0,MOT,why don't you go get Sammy's dish?,there's nothing in here.,0.9,0.7
Brown/Sarah,030630,Sarah,3.0,6.0,30.0,MOT,my baby. this my baby?,no. I am.,0.9,0.9
Weist/Emily,030219,Emily,3.0,2.0,19.0,CAR,you're so funny. you needta blow your nose. what do you think? should we go do it?,nah.,0.9,0.8
Brown/Sarah,041021,Sarah,4.0,10.0,21.0,GAI,next Monday. one week from today. at night or in the afternoon?,I think it's in night. is it?,0.9,0.9
Gelman/2016-Robodog,32,,3.0,6.0,,MOT,we have wheels on both? are you sure? I don't think we have wheels on top of our car do we?,why?,0.9,0.8
Weist/Matt,040809,Matt,4.0,8.0,9.0,MOT,right and then we actually checked it for a week out but then daddy forgot to return it. well I kind of forgot too but I thought daddy was gonna do it. and anyway so what happened. we got it?,overdue.,0.8,0.7
Weist/Matt,020722,Matt,2.0,7.0,22.0,MOT,you're gonna make him stuck?,yep.,0.9,0.8
Gelman/2016-Robodog,26,,3.0,6.0,,MOT,you think so? what kind of dog do you think it is?,grrrrrrr!,0.8,0.4
Weist/Emma,030807,Emma,3.0,8.0,7.0,JES,he did? what's wrong?,I fell.,0.9,0.8
Garvey,leoeve,Leo,4.0,0.0,,EVE,I know what's in there you know what's in there?,jewelry.,0.7,0.8
NewEngland/14,34,Rachel,1.0,2.0,4.0,MOT,yeah. Rachel sit on Mommy's lap?,that.,0.8,0.4
Weist/Jillian,020616,Jillian,2.0,6.0,16.0,CAT,locking up the barn? who's that?,that's my present when I was a baby.,0.7,0.9
NewmanRatner/18,6043AM,6043AM18,1.0,6.0,,MOT,three little bears. what's this?,that four.,0.8,0.5
Suppes,021028,Nina,2.0,10.0,28.0,MOT,where? where did we cut your bangs?,I'm gonna pull this now.,0.8,0.2
MacWhinney,040316d,Ross,4.0,3.0,16.0,FAT,right. and what if we took all the walls away? what would happen?,something will come in.,0.9,0.7
Bloom/Eric,010914,Eric,1.0,9.0,14.0,LOI,what do you wanna read? look at this picture. what's this little boy doing?,bath.,0.8,0.6
Gelman/1998-Books/readingbook30,09,,2.0,10.0,18.0,MOT,"“specially 0etc out”. see how that tilts up? and everything dumps out the back. what do you think of that? “cranes 0etc boom”. see, right there? see that long arm? “that can 0etc truck”. where's the forklift? I think this is a forklift. “has weight 0etc over”. see how it picks that thing up there? see this crane there picking up that big tree?","no, that's not tree.",0.9,0.8
Gelman/2004-Gender,43,,4.0,11.0,7.0,MOT,where's he driving in his truck?,up a hill.,0.8,0.9
Brown/Adam,020701,Adam,2.0,7.0,1.0,MOT,do you want me to set over there? what are you going to do?,I going sleep.,0.8,0.8
Brown/Adam,041023,Adam,4.0,10.0,23.0,MOT,can you spell your name?,oh. yes. I can because I see a a. okay. I try. where's a? put that down. no. put that.,0.9,0.8
Weist/Emily,030219,Emily,3.0,2.0,19.0,CAR,"okay, here. shall I clip it in your hair?","no, me should.",0.8,0.8
Valian,08b,,2.0,6.0,24.0,MOT,"yeah, what're you gonna gimme in my, in my bottle?",juice.,0.8,0.9
Suppes,011124,Nina,1.0,11.0,24.0,MOT,what is dolly wearing?,on the street.,0.8,0.4
Bohannon/Bax,leah,Baxter,3.0,0.0,,LEA,yeah couple of little feeding dishes you're absolutely right. that's what they eat out_of. what is that? what animal is that one? huh? is that a monkey?,that a monkey.,0.9,0.9
HSLLD/HV5/MT,zenmt5,,7.0,7.0,17.0,MOT,spontaneous it is! you gotta smear it. you want garlic bread?,yes.,0.8,0.9
Suppes,020328,Nina,2.0,3.0,28.0,MOT,what is she drinking?,milk.,0.9,0.9
Brown/Adam,030011,Adam,3.0,0.0,11.0,MOT,do I want you to do what?,kick car.,0.7,0.3
Clark,020919,Shem,2.0,9.0,19.0,MOT,you could hold wine in there. what else?,it's tick. bif!,0.8,0.4
Bates/Free28,keith28,Keith,2.0,4.0,,MOT,what kind of food did you buy?,chocolate cake.,0.9,0.9
Kuczaj,030430,Abe,3.0,4.0,30.0,MOT,in the bathroom. why don't you go check on him?,okay ‡ he won't open the door.,0.8,0.8
Weist/Emily,020729,Emily,2.0,7.0,29.0,JAM,how did you get it though?,but I put.,0.7,0.5
Gleason/Father,laurel,Laurel,3.0,0.0,20.0,FAT,those are Kellog's? what?,want Rice Krispies for your baby?,0.8,0.8
Gelman/2004-Gender,65,,6.0,10.0,24.0,MOT,do you think he works in a city?,unhunh.,0.8,0.6
Brown/Sarah,020426,Sarah,2.0,4.0,26.0,MOT,monkey. yeah. what's his name? Mr who?,Mister Ear.,0.9,0.9
Morisset/UCLA,340m36,Adam,3.0,3.0,,MOT,let's see. what's that? what is that? do you know what that is?,it can't open.,0.8,0.7
Suppes,020129,Nina,2.0,1.0,29.0,MOT,that's a boy and where did he fall down?,on the snow.,0.9,0.9
Gelman/2004-Gender,44,,4.0,9.0,11.0,MOT,"wait, do boys pick flowers sometimes?",yes.,0.9,0.9
Gelman/2004-Gender,59,,6.0,5.0,26.0,MOT,"is she gonna when the cookies are done, is she gonna take them out of the oven do you think?",no.,0.9,0.8
